order_id,customer_name,product,Purpose,quantity,unit_price,total_price,order_date,region
1,Diana,Tablet,Other,2.0,500.0,1000.0,2024-01-20,South
2,Eve,Laptop,Leisure,2.0,500.0,1000.0,2024-04-29,North
3,Charlie,Laptop,Other,2.0,250.0,500.0,2024-01-08,Unknown
4,Eve,Laptop,Other,2.0,750.0,1500.0,2024-01-07,West
5,Eve,Tablet,Work,3.0,500.0,1500.0,2024-03-07,South
7,Charlie,Monitor,Education,2.0,750.0,1500.0,2024-02-02,West
8,Charlie,Laptop,Leisure,3.0,500.0,1500.0,2024-02-17,Unknown
9,Charlie,Monitor,Work,2.0,750.0,1500.0,2024-03-16,West
10,Eve,Monitor,Leisure,1.0,500.0,500.0,2024-02-28,North
11,Unknown,Monitor,Leisure,3.0,750.0,2250.0,2024-04-24,West
12,Charlie,Tablet,Work,2.0,750.0,1500.0,2024-03-26,East
13,Frank,Tablet,Education,1.0,750.0,750.0,2024-04-28,West
14,Eve,Tablet,Work,1.0,500.0,500.0,2024-01-22,South
15,Bob,Laptop,Work,1.0,500.0,500.0,2024-04-19,South
16,Diana,Monitor,Leisure,3.0,750.0,2250.0,1970-01-01,East
17,Frank,Tablet,Work,2.0,500.0,1000.0,2024-02-07,North
18,Frank,Tablet,Leisure,1.0,250.0,250.0,2024-04-11,South
19,Bob,Laptop,Leisure,2.0,250.0,500.0,2024-04-18,Unknown
20,Diana,Tablet,Leisure,1.0,500.0,500.0,2024-02-20,South
21,Eve,Laptop,Work,1.0,500.0,500.0,2024-02-23,South
22,Alice,Phone,Work,3.0,750.0,2250.0,2024-01-08,North
23,Diana,Tablet,Leisure,3.0,500.0,1500.0,2024-01-27,West
24,Bob,Phone,Education,2.0,500.0,1000.0,2024-01-27,South
25,Frank,Laptop,Other,2.0,250.0,500.0,2024-04-07,East
26,Eve,Monitor,Leisure,3.0,750.0,2250.0,2024-01-21,West
27,Diana,Tablet,Other,1.0,500.0,500.0,2024-01-30,Unknown
28,Alice,Laptop,Education,2.0,250.0,500.0,2024-04-06,North
29,Alice,Monitor,Other,1.0,250.0,250.0,2024-01-28,Unknown
30,Charlie,Monitor,Other,1.0,500.0,500.0,2024-04-20,West
31,Charlie,Phone,Other,3.0,750.0,2250.0,2024-03-04,West
32,Bob,Laptop,Education,2.0,750.0,1500.0,2024-04-06,West
33,Diana,Monitor,Work,2.0,500.0,1000.0,2024-03-09,Unknown
34,Diana,Tablet,Other,2.0,500.0,1000.0,2024-03-01,West
35,Frank,Tablet,Education,3.0,750.0,2250.0,2024-02-17,Unknown
36,Frank,Phone,Leisure,3.0,750.0,2250.0,2024-01-19,West
37,Frank,Monitor,Leisure,2.0,500.0,1000.0,2024-01-04,East
38,Charlie,Laptop,Education,2.0,500.0,1000.0,2024-02-04,West
39,Diana,Tablet,Leisure,2.0,500.0,1000.0,2024-03-04,Unknown
40,Diana,Monitor,Education,2.0,500.0,1000.0,2024-02-18,South
41,Alice,Monitor,Other,1.0,250.0,250.0,2024-01-17,West
42,Charlie,Phone,Work,2.0,500.0,1000.0,2024-02-13,South
43,Eve,Tablet,Leisure,1.0,500.0,500.0,2024-04-01,East
44,Charlie,Tablet,Leisure,2.0,250.0,500.0,2024-01-30,North
45,Eve,Laptop,Work,1.0,500.0,500.0,2024-04-02,East
46,Alice,Tablet,Other,2.0,250.0,500.0,2024-02-15,West
47,Bob,Laptop,Leisure,2.0,500.0,1000.0,2024-04-26,South
48,Diana,Tablet,Education,2.0,500.0,1000.0,2024-01-06,South
49,Alice,Phone,Other,2.0,500.0,1000.0,2024-04-08,Unknown
50,Diana,Tablet,Other,3.0,250.0,750.0,2024-04-14,South
51,Frank,Laptop,Work,2.0,250.0,500.0,2024-02-06,Unknown
52,Bob,Laptop,Work,3.0,500.0,1500.0,2024-01-24,North
53,Bob,Phone,Other,1.0,750.0,750.0,2024-04-02,West
54,Alice,Tablet,Other,1.0,750.0,750.0,2024-04-22,Unknown
55,Bob,Tablet,Other,1.0,250.0,250.0,2024-02-15,North
56,Eve,Phone,Education,2.0,250.0,500.0,2024-02-22,South
57,Bob,Tablet,Other,1.0,750.0,750.0,2024-04-04,South
58,Diana,Tablet,Work,3.0,750.0,2250.0,2024-04-08,North
59,Diana,Laptop,Education,1.0,500.0,500.0,2024-02-29,South
60,Diana,Tablet,Leisure,2.0,500.0,1000.0,2024-04-06,North
61,Diana,Tablet,Leisure,2.0,750.0,1500.0,2024-04-25,Unknown
62,Eve,Phone,Work,2.0,500.0,1000.0,2024-03-03,Unknown
63,Charlie,Phone,Other,2.0,500.0,1000.0,2024-03-25,North
64,Frank,Monitor,Other,3.0,500.0,1500.0,2024-02-01,Unknown
65,Alice,Laptop,Leisure,1.0,500.0,500.0,2024-03-27,Unknown
66,Diana,Tablet,Work,2.0,250.0,500.0,2024-02-02,Unknown
67,Bob,Tablet,Education,1.0,500.0,500.0,2024-03-07,East
68,Diana,Monitor,Other,1.0,500.0,500.0,2024-01-18,West
69,Bob,Tablet,Work,3.0,750.0,2250.0,2024-01-25,South
70,Frank,Laptop,Other,2.0,250.0,500.0,2024-04-15,East
71,Frank,Monitor,Other,2.0,500.0,1000.0,2024-04-04,Unknown
72,Frank,Laptop,Education,1.0,500.0,500.0,2024-02-23,North
73,Bob,Monitor,Education,2.0,500.0,1000.0,2024-02-27,Unknown
74,Diana,Monitor,Other,2.0,500.0,1000.0,2024-03-07,West
75,Frank,Phone,Leisure,2.0,500.0,1000.0,2024-04-13,Unknown
76,Eve,Laptop,Education,2.0,500.0,1000.0,2024-02-15,North
77,Bob,Tablet,Other,2.0,750.0,1500.0,2024-01-24,West
78,Bob,Tablet,Leisure,3.0,500.0,1500.0,2024-04-23,Unknown
79,Diana,Laptop,Leisure,2.0,500.0,1000.0,2024-02-01,West
80,Bob,Tablet,Work,3.0,250.0,750.0,2024-02-16,South
81,Bob,Tablet,Leisure,3.0,750.0,2250.0,2024-03-26,South
82,Frank,Laptop,Leisure,2.0,250.0,500.0,2024-01-23,Unknown
83,Diana,Monitor,Leisure,3.0,250.0,750.0,2024-03-06,West
84,Frank,Laptop,Education,1.0,500.0,500.0,2024-01-27,North
85,Frank,Monitor,Education,3.0,500.0,1500.0,2024-04-15,Unknown
86,Diana,Tablet,Work,2.0,500.0,1000.0,2024-01-02,South
87,Alice,Tablet,Other,2.0,500.0,1000.0,2024-03-30,South
88,Frank,Tablet,Leisure,1.0,500.0,500.0,2024-01-17,Unknown
89,Eve,Phone,Education,2.0,500.0,1000.0,2024-04-13,West
90,Eve,Monitor,Leisure,2.0,750.0,1500.0,2024-02-02,South
91,Bob,Phone,Other,2.0,500.0,1000.0,2024-01-09,West
92,Eve,Phone,Work,2.0,250.0,500.0,2024-02-12,South
93,Bob,Laptop,Leisure,3.0,250.0,750.0,2024-04-27,South
94,Alice,Phone,Other,3.0,500.0,1500.0,2024-02-17,East
95,Diana,Laptop,Other,2.0,250.0,500.0,2024-02-08,South
96,Diana,Laptop,Leisure,2.0,500.0,1000.0,2024-04-02,North
97,Diana,Phone,Other,1.0,250.0,250.0,2024-02-11,Unknown
98,Eve,Monitor,Other,1.0,500.0,500.0,2024-04-28,Unknown
99,Alice,Monitor,Leisure,2.0,250.0,500.0,2024-01-26,West
100,Eve,Monitor,Work,3.0,500.0,1500.0,2024-04-08,South
